Date,Solactive €STR +8.5 Daily
2020-11,11914.27374134456
2020-12,11909.484564883365
2021-01,11904.795162931774
2021-02,11900.40508450901
2021-03,11895.216810009379
2021-04,11890.42763354818
2021-05,11885.538682577375
2021-06,11880.749506116177
2021-07,11875.96032965498
2021-08,11870.871829664957
2021-09,11866.082653203759
2021-10,11861.493025761778
2021-11,11856.304751262147
2021-12,11851.316025781733
2022-01,11846.227525791712
2022-02,11841.737672859337
2022-03,11836.649172869316
2022-04,11831.959770917723
2022-05,11826.671721908488
2022-06,11821.782770937682
2022-07,11817.392692514917
2022-08,11817.392692514917
2022-09,11821.28389838964
2022-10,11828.866761119869
2022-11,11843.034741484245
2022-12,11859.198212040788
2023-01,11880.150859058527
2023-02,11901.801927643524
2023-03,11928.741045237763
2023-04,11931.734280526009
