Date,iShares Core MSCI World UCITS ETF USD (Acc)
2000-09,254544.3841144324
2000-10,260552.36772084053
2000-11,237133.7161951985
2000-12,224818.76516210273
2001-01,229406.44082247402
2001-02,210977.04375259395
2001-03,206331.78687315554
2001-04,220408.75768260236
2001-05,227658.46134724605
2001-06,220455.6671885886
2001-07,210640.14884868532
2001-08,191640.46857859482
2001-09,175213.05644291895
2001-10,180287.1044485141
2001-11,193985.3000507357
2001-12,197035.3254471342
2002-01,194906.175754965
2002-02,192846.80479360538
2002-03,199624.7918353432
2002-04,186726.5669547938
2002-05,179455.13007450962
2002-06,158571.2069798433
2002-07,148014.40409249326
2002-08,147488.56854458398
2002-09,130866.04078239892
2002-10,140429.99257600468
2002-11,147017.52927201186
2002-12,132380.79035710142
2003-01,124420.50463846554
2003-02,122607.70602898495
2003-03,120915.10697975912
2003-04,128819.42023924865
2003-05,128173.9242371961
2003-06,134861.44766541346
2003-07,138886.85470495114
2003-08,146923.84410014976
2003-09,138586.8206594789
2003-10,147152.8281149319
2003-11,144719.4224151069
2003-12,146019.30299865373
2004-01,151285.09430447654
2004-02,153372.04118518837
2004-03,154746.68841328303
2004-04,155065.88818921987
2004-05,153232.96554749116
2004-06,156906.32864210915
2004-07,153219.6870859644
2004-08,152952.68867801962
2004-09,152078.06661997482
2004-10,151762.02587233932
2004-11,153004.82651756002
2004-12,155018.24631564785
2005-01,158314.35268513387
2005-02,160567.95910861786
2005-03,160982.9020301273
2005-04,157533.44894800673
2005-05,168445.64774551246
2005-06,173233.2552171445
2005-07,179240.8795313652
2005-08,179007.09180184742
2005-09,186005.9354657182
2005-10,181749.0397491448
2005-11,191827.76426283075
2005-12,195580.2768022978
2006-01,198868.81416137138
2006-02,202603.0323372891
2006-03,203106.88770992454
2006-04,202011.6925667154
2006-05,190058.71716834596
2006-06,192287.87983205979
2006-07,192637.48296083024
2006-08,196313.84266553837
2006-09,201618.98651689864
2006-10,208392.67174145507
2006-11,205309.42927827567
2006-12,209926.54613953803
2007-01,215911.50697328334
2007-02,210573.62929121192
2007-03,212670.38610362934
2007-04,217332.16956244493
2007-05,225907.5037091394
2007-06,223264.22464326685
2007-07,215065.17203427618
2007-08,214897.5130460471
2007-09,217555.65910743398
2007-10,220032.62390981967
2007-11,206512.64358853575
2007-12,204367.87586495886
2008-01,186824.78729703074
2008-02,182075.11109674544
2008-03,172943.57628101288
2008-04,185190.5053336661
2008-05,188371.49715125453
2008-06,170500.98139976047
2008-07,167936.69005824512
2008-08,175392.99345238516
2008-09,159170.64121672875
2008-10,144597.49408282034
2008-11,135532.5711432871
2008-12,127897.55260454137
2009-01,126696.57077184615
2009-02,115253.98001382648
2009-03,117741.70974171167
2009-04,131255.7989790497
2009-05,134769.89722043494
2009-06,133797.71492795672
2009-07,145066.61481152818
2009-08,149608.9216041835
2009-09,151605.53023468342
2009-10,147303.3967319184
2009-11,151022.1673452098
2009-12,160293.25331168034
2010-01,158482.78139836446
2010-02,165380.50606125593
2010-03,176780.70616880004
2010-04,178953.74775830426
2010-05,175035.42769601656
2010-06,169500.85364159913
2010-07,172567.1131839146
2010-08,170654.78839656847
2010-09,173306.66404168474
2010-10,177026.52970633542
2010-11,184621.6960366827
2010-12,192766.15327250393
2011-01,192338.0109686946
2011-02,196996.87006181394
2011-03,189900.2220574791
2011-04,189236.62252055857
2011-05,191398.3698803937
2011-06,187452.33616261382
2011-07,186513.21108969516
2011-08,171061.30702070481
2011-09,167218.91625098823
2011-10,177924.62885912595
2011-11,181092.7499303245
2011-12,187662.25258754517
2012-01,193503.53152409455
2012-02,198892.63733782558
2012-03,202728.7671688203
2012-04,202546.6250518166
2012-05,197128.97333192753
2012-06,204063.7339088236
2012-07,211801.72406152354
2012-08,211504.77032150788
2012-09,211918.8373715092
2012-10,209430.86138484476
2012-11,212192.0327262013
2012-12,212739.14433177223
2013-01,217666.47803819852
2013-02,224980.92285124288
2013-03,236039.18507919708
2013-04,238459.9162221183
2013-05,239720.77954638092
2013-06,232451.19777454596
2013-07,241055.7475957535
2013-08,236597.7549269916
2013-09,243424.42566435115
2013-10,250390.41119002114
2013-11,255360.20093104825
2013-12,257317.49272485496
2014-01,252785.52089622457
2014-02,259690.7387741749
2014-03,260494.83500143557
2014-04,261942.61191219263
2014-05,271822.57639975386
2014-06,275606.76060924196
2014-07,276818.0256171205
2014-08,286969.0707997073
2014-09,292555.805402297
2014-10,295786.7216552992
2014-11,302656.18953116576
2014-12,306113.4411483631
2015-01,322742.5299482293
2015-02,343573.5295610747
2015-03,353257.7699638523
2015-04,346783.41904891917
2015-05,355691.83926475066
2015-06,340561.8960254078
2015-07,353635.8087787203
2015-08,322872.63482445205
2015-09,311242.90745915304
2015-10,341526.377101587
2015-11,353839.9000843966
2015-12,337726.96778300445
2016-01,316506.8456465635
2016-02,315021.8124809101
2016-03,321661.21204605664
2016-04,326181.6653342144
2016-05,335281.8081338815
2016-06,333021.8097814075
2016-07,346692.38454305247
2016-08,346330.5109123049
2016-09,347207.82225289417
2016-10,347118.2787828798
2016-11,362348.44113846665
2016-12,374267.028993924
2017-01,375610.83106191107
2017-02,391724.6843366341
2017-03,392351.1223864022
2017-04,389388.841884817
2017-05,387249.4187000757
2017-06,382168.5715841056
2017-07,380739.96085383836
2017-08,378052.79740836826
2017-09,387096.9772734355
2017-10,400041.5370261079
2017-11,401364.72529479174
2017-12,401841.3600433408
2018-01,407233.4934392791
2018-02,398061.35321551014
2018-03,385937.13767858676
2018-04,398128.6536064233
2018-05,413569.98874655785
2018-06,414757.5413183672
2018-07,424800.09143715707
2018-08,433122.77752155013
2018-09,438284.0698443902
2018-10,415286.10109097074
2018-11,418418.4752545275
2018-12,383460.4572521624
2019-01,411864.93144338974
2019-02,426856.7228952948
2019-03,439359.256014405
2019-04,455554.8291318999
2019-05,431772.2052556432
2019-06,450890.7204879037
2019-07,462354.46798507863
2019-08,457539.54035555664
2019-09,473508.37706074584
2019-10,473942.988698717
2019-11,494693.05654426676
2019-12,498001.3727880817
2020-01,503038.16448276315
2020-02,463581.36737458257
2020-03,402923.47394801356
2020-04,450160.9091544317
2020-05,460814.40974043007
2020-06,470307.7376342998
2020-07,465693.3128451567
2020-08,492902.66357048636
2020-09,485245.960034543
2020-10,470682.2372019283
2020-11,518289.82725573436
2020-12,527365.1680767786
2021-01,527844.0688179566
2021-02,541951.6948658407
2021-03,578806.0990005914
2021-04,587748.7784834394
2021-05,590302.546653405
2021-06,614983.2278729246
2021-07,625528.3488294905
2021-08,644080.3820466656
2021-09,630825.8548740208
2021-10,662673.2250062659
2021-11,664127.0856690584
2021-12,694663.5749413728
2022-01,667818.056461509
2022-02,648317.4640772757
2022-03,671881.9070761427
2022-04,648745.0307579589
2022-05,638644.0033175414
2022-06,601524.7923206998
2022-07,661216.5783191102
2022-08,646007.065711731
2022-09,600994.4726835787
2022-10,633267.7328421486
2022-11,647036.2830961036
2022-12,602605.2486848048
2023-01,635195.8256780267
2023-02,632313.9069420103
2023-03,636402.0850920449
2023-04,641200.9135883804
2023-05,652400.2801756433
2023-06,680095.3560096616
2023-07,692816.358352697
2023-08,685797.4336337505
2023-09,673071.0225573876
2023-10,651890.53181248
2023-11,692546.8787270836
