Date,Xtrackers Eurozone Government Bond UCITS ETF 1C
2012-07,17900.48532208519
2012-08,18031.249918940543
2012-09,18257.990393128955
2012-10,18392.067007757363
2012-11,18651.961033349096
2012-12,18785.357235181717
2013-01,18693.178234255334
2013-02,18730.26309598255
2013-03,18852.07526545369
2013-04,19325.409912313833
2013-05,19080.14167930278
2013-06,18797.509890393496
2013-07,18931.229242636226
2013-08,18834.844489221978
2013-09,18969.200235992805
2013-10,19232.311534106844
2013-11,19296.19167933378
2013-12,19175.515705770118
2014-01,19594.270480484844
2014-02,19721.925222272264
2014-03,19900.050138683313
2014-04,20086.741919555312
2014-05,20280.68772610765
2014-06,20495.380353438537
2014-07,20679.611746087572
2014-08,21064.05930799819
2014-09,21078.6191225133
2014-10,21130.115385187994
2014-11,21415.71407034801
2014-12,21645.229432762022
2015-01,22132.14901031481
2015-02,22299.77900943927
2015-03,22564.463509824436
2015-04,22243.30463193404
2015-05,21905.304238919813
2015-06,21336.179633711512
2015-07,21827.296846695215
2015-08,21593.09541682196
2015-09,21879.203540933402
2015-10,22100.286408348362
2015-11,22197.994879204467
2015-12,21966.387688335835
2016-01,22397.256233343014
2016-02,22609.731107866657
2016-03,22713.758835106346
2016-04,22454.56247845668
2016-05,22681.644004247286
2016-06,23195.555135803344
2016-07,23381.688262539104
2016-08,23300.37215308797
2016-09,23342.553531999998
2016-10,22844.083164073174
2016-11,22489.301457127945
2016-12,22652.60274916854
2017-01,22164.20904017207
2017-02,22420.715817574863
2017-03,22303.96910297779
2017-04,22400.942672048164
2017-05,22522.741424856926
2017-06,22395.011930683322
2017-07,22445.02203128201
2017-08,22631.92360511935
2017-09,22520.56500963217
2017-10,22743.717923539552
2017-11,22835.620235552917
2017-12,22633.87893611929
2018-01,22548.857262374666
2018-02,22591.83361550585
2018-03,22941.80645957524
2018-04,22859.789051613578
2018-05,22564.505037202875
2018-06,22741.392314784516
2018-07,22661.819052513
2018-08,22529.823182470875
2018-09,22499.818132527154
2018-10,22484.38385342565
2018-11,22614.571042498475
2018-12,22818.49602951598
2019-01,23066.044465060888
2019-02,22975.822911641866
2019-03,23391.151857588786
2019-04,23378.52611712895
2019-05,23631.70051899593
2019-06,24172.88479281083
2019-07,24568.461202265702
2019-08,25177.27438122063
2019-09,25075.229313543703
2019-10,24791.919333942373
2019-11,24559.086027395024
2019-12,24317.587823131034
2020-01,24926.049257096285
2020-02,25034.366235528098
2020-03,24398.571544346363
2020-04,24493.364005360992
2020-05,24554.23091572614
2020-06,24797.159138245905
2020-07,25050.67866669042
2020-08,24858.737717602104
2020-09,25204.15806858898
2020-10,25443.978846415223
2020-11,25466.93146792937
2020-12,25499.555681367183
2021-01,25342.51162817381
2021-02,24957.169489281234
2021-03,24896.972821625666
2021-04,24626.889780454654
2021-05,24471.966715327162
2021-06,24721.305700705656
2021-07,25171.70215593211
2021-08,25030.30275844537
2021-09,24721.702388641395
2021-10,24562.029473142735
2021-11,24991.92357924486
2021-12,24583.911680213623
2022-01,24311.269780752904
2022-02,23829.057821712267
2022-03,23275.486828287263
2022-04,22406.229756225846
2022-05,21965.00003563378
2022-06,21549.952009749442
2022-07,22423.892664962084
2022-08,21281.987980300906
2022-09,20449.244296588215
2022-10,20495.907616209297
2022-11,20982.584100517066
2022-12,20020.900781991837
2023-01,20496.900881670288
