Date,Invesco Physical Gold A
2000-10,18656.07885627044
2000-11,18395.08755013383
2000-12,17392.065770591365
2001-01,16892.233326663634
2001-02,17113.92648923934
2001-03,17313.580846147946
2001-04,17590.366082490145
2001-05,18714.400186662268
2001-06,18929.405907685297
2001-07,18014.4745122544
2001-08,17679.792751311743
2001-09,19035.8513070509
2001-10,18280.15942702397
2001-11,18357.5856575229
2001-12,18600.082304008705
2002-01,19375.359496716275
2002-02,20339.074275529438
2002-03,20475.989360831623
2002-04,20275.78628656555
2002-05,20616.745102748988
2002-06,18918.205782258487
2002-07,18448.795193068894
2002-08,18844.172440622333
2002-09,19445.542539989874
2002-10,19027.383616529678
2002-11,19032.998405246974
2002-12,19353.07459232158
2003-01,20117.437582922277
2003-02,19077.83958099271
2003-03,18193.394405950643
2003-04,17906.88173515421
2003-05,18092.590571150395
2003-06,17918.57977656184
2003-07,18546.863320209894
2003-08,20337.74482933021
2003-09,19699.92487381399
2003-10,19659.724409574064
2003-11,19644.77780117888
2003-12,19538.700493905322
2004-01,19089.113489987678
2004-02,18849.21398121903
2004-03,20493.655477244545
2004-04,19224.72667777543
2004-05,19057.42891008784
2004-06,19246.95509873336
2004-07,19214.456857416353
2004-08,19871.781522697678
2004-09,19792.612138397846
2004-10,19740.2213162347
2004-11,20147.40867544912
2004-12,18995.252814346306
2005-01,19129.01444068737
2005-02,19399.3444068083
2005-03,19473.671961237735
2005-04,19855.977097522355
2005-05,19844.426651918795
2005-06,21340.618138312733
2005-07,20941.284198199482
2005-08,20964.60261782236
2005-09,23194.736342185333
2005-10,23106.348997479276
2005-11,24851.29453248911
2005-12,25657.66864083438
2006-01,27689.915327694605
2006-02,27620.32616635424
2006-03,28362.1668596123
2006-04,30296.811530953295
2006-05,29926.976934613598
2006-06,28456.505609906668
2006-07,29210.864774991143
2006-08,28604.076347852246
2006-09,27903.469963630952
2006-10,28030.502040419236
2006-11,28875.36078698382
2006-12,28445.976259210973
2007-01,29590.756462569967
2007-02,29623.233274293707
2007-03,29273.879022437774
2007-04,29313.79785944073
2007-05,28858.252089572088
2007-06,28369.15432595351
2007-07,28592.77039574028
2007-08,28873.39270789081
2007-09,30853.906280611514
2007-10,32173.607566543582
2007-11,31246.674532585646
2007-12,33447.88384512039
2008-01,36543.3714791253
2008-02,37696.522133284496
2008-03,34740.69966104814
2008-04,32978.6168547977
2008-05,33602.999448942246
2008-06,34714.738014951894
2008-07,34589.87662805704
2008-08,33249.62404466049
2008-09,36368.28929263643
2008-10,33684.147100974194
2008-11,37629.76077170934
2008-12,36541.9882043457
2009-01,42177.73976210348
2009-02,44258.34230624501
2009-03,40477.61133603535
2009-04,39102.03501949797
2009-05,40661.01815104935
2009-06,38848.767704787526
2009-07,39020.91131301236
2009-08,39329.87455226234
2009-09,39944.24346661144
2009-10,41272.76283215937
2009-11,45963.304284982354
2009-12,45002.25026762866
2010-01,45343.34746705605
2010-02,47949.302285062244
