Data,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc)
2016-03,75412.30113407112
2016-04,75408.95875593477
2016-05,78632.65360222217
2016-06,81150.32533791372
2016-07,83290.46969324251
2016-08,80839.27890257922
2016-09,81181.92767885902
2016-10,80277.25567484979
2016-11,82974.07737
2016-12,84955.68031000966
2017-01,86225.03678543842
2017-02,89566.89917243348
2017-03,90642.16993268067
2017-04,90309.0382
2017-05,91659.26273
2017-06,90317.1996
2017-07,90587.48605593812
2017-08,91117.37044818306
2017-09,93574.49743
2017-10,99231.61776478018
2017-11,99256.73682483932
2017-12,98337.47682310342
2018-01,102281.89073076966
2018-02,102601.02213387997
2018-03,98364.99397944564
2018-04,101341.1718849471
2018-05,107579.12950996838
2018-06,107546.62229860763
2018-07,109180.12826682378
2018-08,114910.39642651686
2018-09,116745.63796051736
2018-10,107585.38515852255
2018-11,108701.05598727334
2018-12,99855.42293957657
2019-01,105852.00170314174
2019-02,110407.92840300818
2019-03,115052.6587873984
2019-04,118901.58056712669
2019-05,115248.05434587543
2019-06,120042.50029129522
2019-07,123710.8472063289
2019-08,125052.50998100635
2019-09,125683.22915916744
2019-10,124184.77023043236
2019-11,129381.84544265244
2019-12,129560.7789146554
2020-01,135127.78706473514
2020-02,126253.33371269362
2020-03,113538.20325022022
2020-04,126059.83243177058
2020-05,130169.48881463167
2020-06,135403.29292369494
2020-07,136482.29179508562
2020-08,145857.16732220733
2020-09,143920.63871452646
2020-10,138896.8864252647
2020-11,148980.95541446932
2020-12,151681.51879242496
2021-01,154591.79230840234
2021-02,153758.13447598502
2021-03,159307.97434966452
2021-04,165067.8826656529
2021-05,161698.2728584157
2021-06,167859.74250363914
2021-07,170480.48926386706
2021-08,176706.6894
2021-09,173851.64281355453
2021-10,185830.28296723514
2021-11,184562.17385282717
2021-12,187844.0288758196
2022-01,175907.1494803474
2022-02,171405.34418507112
2022-03,180570.47243904177
2022-04,168566.68927760492
2022-05,165535.62407233438
2022-06,157890.2554037589
2022-07,167818.96090511198
2022-08,166721.74471854581
2022-09,158443.71781626277
2022-10,171266.04367082473
2022-11,172313.03083927275
2022-12,163483.86838668853
2023-01,162652.90880237173
2023-02,160531.0513
2023-03,158088.26057576723
2023-04,161031.19277093592
2023-05,157452.4554
2023-06,164738.87771235977
2023-07,166292.86100269525
2023-08,166465.0957623941
2023-09,163716.95104195032
2023-10,160365.13801844875
2023-11,170240.74217371442
2023-12,175823.25785147844
2024-01,189249.37068724554
2024-02,206505.678
2024-03,215701.4707843897
2024-04,208661.94519247787
2024-05,217697.34708236705
2024-06,228568.6612583342
